Player,T1_1,T1_2,T2_1,T2_2,T3_1,T3_2,H1_1,H1_2,H2_1,H2_2,H3_1,H3_2,hand,angle 1,angle 2,height,weight,BA,AB,H,HR,R,RBI,SB,OBP,SLG,OPS,OPS+
Will_Clark,0.494118,0.044118,0.727941,0.357353,0.617647,0.4,0.575,0.117647,0.530882,0.480882,0.413235,0.454412,1,,,187,190,0.303,7173,2176,284,1186,1205,67,0.384,0.497,0.88,137
Buster_Posey,0.702083,0.034202,0.25,0.319218,0.441667,0.511401,0.535417,0.211726,0.34375,0.767101,0.64375,0.745928,0,,,185,210,0.302,4575,1380,140,595,673,23,0.37,0.456,0.826,128
DJ_LeMahieu,0.451186,0.067427,0.284576,0.325164,0.442203,0.400949,0.5,0.219562,0.401186,0.552406,0.597627,0.527219,0,,,195,215,0.302,4047,1223,75,610,451,80,0.354,0.423,0.776,98
Robinson_Canó,0.521701,0.060185,0.869792,0.527778,0.708333,0.655864,0.648438,0.135802,0.657118,0.824074,0.523438,0.75463,1,,,183,210,0.302,8502,2570,324,1234,1272,51,0.352,0.49,0.843,125
Sean_Casey,0.449115,0.064615,0.688053,0.354615,0.543805,0.440769,0.496903,0.213846,0.502655,0.540769,0.366372,0.53,1,,,195,215,0.302,5066,1531,130,690,735,18,0.367,0.447,0.814,109
Willie_Mays,0.143123,0.19375,0.009294,0.4825,0.204461,0.51125,0.219331,0.28875,0.171004,0.54875,0.36803,0.52375,0,,,178,170,0.302,10881,3283,660,2062,1903,338,0.384,0.557,0.941,156
Christian_Yelich,0.434211,0.043301,0.601974,0.286765,0.501096,0.410131,0.495614,0.184641,0.611842,0.48366,0.446272 0,0.480392,1,,,190,195,0.301,3541,1067,139,587,500,124,0.383,0.492,0.874,137
Frank_Thomas,0.554905,0.128418,0.297218,0.29834,0.490483,0.388672,0.470717,0.188965,0.42899,0.480469,0.633968,0.445312,0,,,196,240,0.301,8199,2468,521,1494,1704,32,0.419,0.555,0.974,156
Mookie_Betts,0.530303,0.127104,0.409091,0.39899,0.525253,0.47138,0.515152,0.253367,0.391414,0.51431,0.560606,0.51431,0,,,175,180,0.301,3203,965,139,613,470,126,0.374,0.519,0.893,134
Roberto_Alomar,0.589461,0.054739,0.159314,0.356209,0.463235,0.448529,0.567402,0.166667,0.28799,0.533497,0.572304,0.528595,1,,,183,184,0.3,9073,2724,210,1508,1134,474,0.371,0.443,0.814,116
